slug,name,exerciseType,bodyPart,difficulty,force,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,gifPublicId
plank,Plank,STRENGTH,CORE,BEGINNER,STATIC,,BODY_WEIGHT,"[""abdominals""]","[""lower back"",""shoulders""]","[""Support yourself on your forearms and toes."",""Keep your head, hips, and heels in one straight line."",""Brace your core and hold while breathing normally.""]",exercises/plank/demo
side-plank,Side Plank,STRENGTH,CORE,BEGINNER,STATIC,,BODY_WEIGHT,"[""obliques""]","[""glutes"",""shoulders""]","[""Lie on one side and support your upper body on your forearm."",""Lift your hips until your body forms a straight line."",""Hold with your core braced, then repeat on the other side.""]",exercises/side-plank/demo
dead-bug,Dead Bug,STRENGTH,CORE,BEGINNER,STATIC,COMPOUND,BODY_WEIGHT,"[""abdominals""]","[""hip flexors""]","[""Lie on your back with hips and knees bent and arms pointing upward."",""Brace your core and slowly extend one leg and the opposite arm."",""Return to center and alternate sides without arching your lower back.""]",exercises/dead-bug/demo
bird-dog,Bird Dog,STRENGTH,CORE,BEGINNER,STATIC,COMPOUND,BODY_WEIGHT,"[""core""]","[""glutes"",""lower back"",""shoulders""]","[""Begin on hands and knees with a neutral spine."",""Extend one arm forward and the opposite leg backward."",""Pause, return to the start, and alternate sides.""]",exercises/bird-dog/demo
bicycle-crunch,Bicycle Crunch,STRENGTH,CORE,BEGINNER,PULL,COMPOUND,BODY_WEIGHT,"[""abdominals"",""obliques""]","[""hip flexors""]","[""Lie on your back with hands lightly beside your head."",""Bring one knee toward your torso while rotating the opposite shoulder toward it."",""Switch sides in a controlled pedaling motion.""]",exercises/bicycle-crunch/demo
crunch,Crunch,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,BODY_WEIGHT,"[""abdominals""]",[],"[""Lie on your back with knees bent and feet flat."",""Brace your abdomen and lift your shoulder blades from the floor."",""Pause briefly, then lower under control.""]",exercises/crunch/demo
reverse-crunch,Reverse Crunch,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,BODY_WEIGHT,"[""abdominals""]","[""hip flexors""]","[""Lie on your back with knees bent and legs raised."",""Use your abdomen to curl your pelvis slightly toward your chest."",""Lower your hips slowly without swinging your legs.""]",exercises/reverse-crunch/demo
lying-leg-raise,Lying Leg Raise,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,BODY_WEIGHT,"[""abdominals""]","[""hip flexors""]","[""Lie flat with your legs extended."",""Brace your core and raise your legs while keeping them controlled."",""Lower them slowly without letting your lower back excessively arch.""]",exercises/lying-leg-raise/demo
superman,Superman,STRENGTH,BACK,BEGINNER,PULL,ISOLATION,BODY_WEIGHT,"[""lower back""]","[""glutes"",""upper back""]","[""Lie face down with arms extended in front of you."",""Gently lift your arms, chest, and legs from the floor."",""Pause briefly, then lower under control.""]",exercises/superman/demo
mountain-climber,Mountain Climber,CARDIO,FULL_BODY,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""core""]","[""shoulders"",""quadriceps"",""hip flexors""]","[""Start in a high plank position."",""Drive one knee toward your chest while keeping your hips controlled."",""Switch legs continuously at a pace you can maintain.""]",exercises/mountain-climber/demo
burpee,Burpee,CARDIO,FULL_BODY,INTERMEDIATE,PUSH,COMPOUND,BODY_WEIGHT,"[""full body""]","[""chest"",""quadriceps"",""shoulders"",""core""]","[""From standing, squat down and place your hands on the floor."",""Move your feet back to a plank, then return them toward your hands."",""Stand or jump upward and repeat under control.""]",exercises/burpee/demo
jumping-jack,Jumping Jack,CARDIO,FULL_BODY,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""full body""]","[""calves"",""shoulders""]","[""Stand with feet together and arms by your sides."",""Jump your feet apart while raising your arms overhead."",""Jump back to the starting position and repeat rhythmically.""]",exercises/jumping-jack/demo
high-knees,High Knees,CARDIO,FULL_BODY,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""quadriceps"",""hip flexors""]","[""calves"",""core""]","[""Stand tall and begin jogging in place."",""Drive each knee upward toward hip height as comfortable."",""Keep a steady rhythm and land lightly on your feet.""]",exercises/high-knees/demo
jump-squat,Jump Squat,CARDIO,LEGS,INTERMEDIATE,PUSH,COMPOUND,BODY_WEIGHT,"[""quadriceps"",""glutes""]","[""hamstrings"",""calves""]","[""Lower into a comfortable squat."",""Drive through your feet and jump upward."",""Land softly, regain your squat position, and repeat.""]",exercises/jump-squat/demo
jump-rope,Jump Rope,CARDIO,FULL_BODY,BEGINNER,PUSH,COMPOUND,JUMP_ROPE,"[""calves""]","[""shoulders"",""core""]","[""Hold the rope handles with elbows close to your sides."",""Turn the rope mainly with your wrists."",""Make small controlled jumps as the rope passes beneath your feet.""]",exercises/jump-rope/demo
wall-sit,Wall Sit,STRENGTH,LEGS,BEGINNER,STATIC,,BODY_WEIGHT,"[""quadriceps""]","[""glutes""]","[""Stand with your back against a wall and step your feet forward."",""Slide down until you reach a comfortable seated position."",""Keep your back against the wall and hold while breathing steadily.""]",exercises/wall-sit/demo
child-s-pose,Child's Pose,MOBILITY,FULL_BODY,BEGINNER,STATIC,,BODY_WEIGHT,"[""back""]","[""shoulders"",""hips""]","[""Kneel on the floor and sit your hips toward your heels."",""Reach your arms forward and lower your torso comfortably."",""Relax and breathe slowly while holding the stretch.""]",exercises/child-s-pose/demo
cat-cow-stretch,Cat-Cow Stretch,MOBILITY,BACK,BEGINNER,STATIC,,BODY_WEIGHT,"[""spine""]","[""core""]","[""Begin on hands and knees."",""Gently round your back upward, then reverse by opening your chest and tilting your pelvis."",""Move slowly between the two positions with your breathing.""]",exercises/cat-cow-stretch/demo
kneeling-hip-flexor-stretch,Kneeling Hip Flexor Stretch,MOBILITY,LEGS,BEGINNER,STATIC,,BODY_WEIGHT,"[""hip flexors""]","[""quadriceps""]","[""Kneel with one foot placed in front of you."",""Keep your torso tall and gently shift your hips forward."",""Hold the stretch at the front of the rear hip, then switch sides.""]",exercises/kneeling-hip-flexor-stretch/demo
90-90-hamstring-stretch,90/90 Hamstring Stretch,MOBILITY,LEGS,BEGINNER,STATIC,,BODY_WEIGHT,"[""hamstrings""]","[""calves""]","[""Lie on your back and raise one thigh with the hip and knee bent."",""Slowly straighten that knee until you feel a comfortable hamstring stretch."",""Return gently and repeat before switching legs.""]",exercises/90-90-hamstring-stretch/demo
quadriceps-stretch,Quadriceps Stretch,MOBILITY,LEGS,BEGINNER,STATIC,,BODY_WEIGHT,"[""quadriceps""]","[""hip flexors""]","[""Stand tall and hold a stable support if needed."",""Bend one knee and bring that heel toward your glutes."",""Hold the ankle gently, keep your knees close, then switch sides.""]",exercises/quadriceps-stretch/demo
calf-stretch,Calf Stretch,MOBILITY,CALVES,BEGINNER,STATIC,,BODY_WEIGHT,"[""calves""]",[],"[""Place your hands against a wall and step one foot backward."",""Keep the rear heel down and the rear knee comfortably straight."",""Lean forward until you feel a calf stretch, then switch sides.""]",exercises/calf-stretch/demo
chest-stretch,Chest Stretch,MOBILITY,CHEST,BEGINNER,STATIC,,BODY_WEIGHT,"[""chest""]","[""shoulders""]","[""Place one forearm against a wall or doorway."",""Keep your shoulder relaxed and gently rotate your torso away."",""Hold a comfortable stretch, then repeat on the other side.""]",exercises/chest-stretch/demo
shoulder-stretch,Shoulder Stretch,MOBILITY,SHOULDERS,BEGINNER,STATIC,,BODY_WEIGHT,"[""shoulders""]","[""upper back""]","[""Bring one arm across the front of your chest."",""Use the opposite arm to gently draw it closer."",""Keep the shoulder relaxed, hold, then switch sides.""]",exercises/shoulder-stretch/demo
figure-four-glute-stretch,Figure-Four Glute Stretch,MOBILITY,GLUTES,BEGINNER,STATIC,,BODY_WEIGHT,"[""glutes""]","[""hips""]","[""Lie on your back and cross one ankle over the opposite thigh."",""Draw the supporting leg toward your torso."",""Hold the glute stretch comfortably, then switch sides.""]",exercises/figure-four-glute-stretch/demo
butterfly-stretch,Butterfly Stretch,MOBILITY,LEGS,BEGINNER,STATIC,,BODY_WEIGHT,"[""adductors""]","[""hips""]","[""Sit tall and bring the soles of your feet together."",""Allow your knees to move outward without forcing them."",""Hold your feet and lean forward slightly if comfortable.""]",exercises/butterfly-stretch/demo
dumbbell-bench-press,Dumbbell Bench Press,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,DUMBBELL,"[""chest""]","[""triceps"",""shoulders""]","[""Lie on a bench holding dumbbells near chest level."",""Press the dumbbells upward until your arms are extended."",""Lower them under control to a comfortable depth.""]",exercises/dumbbell-bench-press/demo
incline-dumbbell-press,Incline Dumbbell Press,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,DUMBBELL,"[""chest""]","[""triceps"",""shoulders""]","[""Set a bench to a moderate incline and hold dumbbells near your upper chest."",""Press the weights upward without letting your shoulders shrug."",""Lower under control and repeat.""]",exercises/incline-dumbbell-press/demo
dumbbell-fly,Dumbbell Fly,STRENGTH,CHEST,BEGINNER,PUSH,ISOLATION,DUMBBELL,"[""chest""]","[""shoulders""]","[""Lie on a bench with dumbbells above your chest and elbows slightly bent."",""Open your arms outward in a controlled arc."",""Bring the dumbbells back together using your chest.""]",exercises/dumbbell-fly/demo
one-arm-dumbbell-row,One-Arm Dumbbell Row,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,DUMBBELL,"[""lats"",""upper back""]","[""biceps"",""rear deltoids""]","[""Support one hand and knee on a bench and hold a dumbbell in the other hand."",""Pull the dumbbell toward your hip while keeping your torso stable."",""Lower the weight under control and repeat before switching sides.""]",exercises/one-arm-dumbbell-row/demo
dumbbell-pullover,Dumbbell Pullover,STRENGTH,BACK,INTERMEDIATE,PULL,COMPOUND,DUMBBELL,"[""lats""]","[""chest"",""triceps""]","[""Lie on a bench holding one dumbbell above your chest with both hands."",""Lower the dumbbell behind your head with a slight elbow bend."",""Pull it back over your chest without excessive back arching.""]",exercises/dumbbell-pullover/demo
dumbbell-shoulder-press,Dumbbell Shoulder Press,STRENGTH,SHOULDERS,BEGINNER,PUSH,COMPOUND,DUMBBELL,"[""shoulders""]","[""triceps""]","[""Hold dumbbells at shoulder height."",""Brace your torso and press the weights overhead."",""Lower them slowly back to shoulder level.""]",exercises/dumbbell-shoulder-press/demo
dumbbell-lateral-raise,Dumbbell Lateral Raise,STRENGTH,SHOULDERS,BEGINNER,PUSH,ISOLATION,DUMBBELL,"[""shoulders""]",[],"[""Hold light dumbbells by your sides with elbows slightly bent."",""Raise your arms out to the sides to around shoulder height."",""Lower slowly without swinging.""]",exercises/dumbbell-lateral-raise/demo
dumbbell-front-raise,Dumbbell Front Raise,STRENGTH,SHOULDERS,BEGINNER,PUSH,ISOLATION,DUMBBELL,"[""shoulders""]",[],"[""Hold dumbbells in front of your thighs."",""Raise one or both arms forward to around shoulder height."",""Lower under control without using momentum.""]",exercises/dumbbell-front-raise/demo
dumbbell-reverse-fly,Dumbbell Reverse Fly,STRENGTH,SHOULDERS,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""rear deltoids""]","[""upper back""]","[""Hinge forward with a neutral back and hold dumbbells below you."",""Open your arms out to the sides with a soft elbow bend."",""Squeeze your upper back briefly, then lower under control.""]",exercises/dumbbell-reverse-fly/demo
dumbbell-biceps-curl,Dumbbell Biceps Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""biceps""]","[""forearms""]","[""Stand tall with dumbbells by your sides."",""Keep your upper arms still and curl the weights toward your shoulders."",""Lower slowly until your elbows are extended.""]",exercises/dumbbell-biceps-curl/demo
hammer-curl,Hammer Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""biceps""]","[""forearms""]","[""Hold dumbbells with palms facing each other."",""Curl the weights while keeping your elbows close to your sides."",""Lower under control without swinging.""]",exercises/hammer-curl/demo
dumbbell-triceps-extension,Dumbbell Triceps Extension,STRENGTH,ARMS,BEGINNER,PUSH,ISOLATION,DUMBBELL,"[""triceps""]",[],"[""Hold one dumbbell overhead with both hands."",""Bend your elbows to lower the dumbbell behind your head."",""Extend your elbows to return overhead while keeping your upper arms stable.""]",exercises/dumbbell-triceps-extension/demo
dumbbell-lunge,Dumbbell Lunge,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,DUMBBELL,"[""quadriceps"",""glutes""]","[""hamstrings""]","[""Hold dumbbells by your sides and stand tall."",""Step forward and lower into a controlled lunge."",""Push through the front foot to return, then alternate sides.""]",exercises/dumbbell-lunge/demo
dumbbell-romanian-deadlift,Dumbbell Romanian Deadlift,STRENGTH,LEGS,BEGINNER,PULL,COMPOUND,DUMBBELL,"[""hamstrings"",""glutes""]","[""lower back""]","[""Hold dumbbells in front of your thighs."",""Push your hips backward while keeping the weights close to your legs."",""Stop when you feel a hamstring stretch, then drive your hips forward to stand.""]",exercises/dumbbell-romanian-deadlift/demo
bulgarian-split-squat,Bulgarian Split Squat,STRENGTH,LEGS,INTERMEDIATE,PUSH,COMPOUND,DUMBBELL,"[""quadriceps"",""glutes""]","[""hamstrings""]","[""Stand in front of a bench and place the top of one foot behind you on it."",""Lower your body by bending the front knee while keeping your balance."",""Push through the front foot to stand and repeat before switching sides.""]",exercises/bulgarian-split-squat/demo
dumbbell-shrug,Dumbbell Shrug,STRENGTH,BACK,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""traps""]","[""upper back""]","[""Stand with dumbbells at your sides."",""Raise your shoulders straight upward without rolling them."",""Pause briefly, then lower them under control.""]",exercises/dumbbell-shrug/demo
farmer-s-walk,Farmer's Walk,STRENGTH,FULL_BODY,BEGINNER,STATIC,COMPOUND,DUMBBELL,"[""forearms"",""traps""]","[""core"",""legs""]","[""Hold a dumbbell in each hand and stand tall."",""Brace your core and walk with controlled steps."",""Keep your shoulders stable and maintain an upright posture.""]",exercises/farmer-s-walk/demo
dumbbell-side-bend,Dumbbell Side Bend,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""obliques""]",[],"[""Stand tall holding one dumbbell at your side."",""Slowly bend your torso toward the weighted side."",""Use your side abdominal muscles to return upright, then switch sides.""]",exercises/dumbbell-side-bend/demo
dumbbell-wrist-curl,Dumbbell Wrist Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,DUMBBELL,"[""forearms""]",[],"[""Sit and support your forearms on your thighs with palms facing upward."",""Allow the dumbbells to lower toward your fingers."",""Curl your wrists upward, then lower slowly.""]",exercises/dumbbell-wrist-curl/demo
dumbbell-step-up,Dumbbell Step-Up,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,DUMBBELL,"[""quadriceps"",""glutes""]","[""hamstrings"",""calves""]","[""Hold dumbbells at your sides and place one foot fully on a stable step."",""Drive through that foot to step onto the platform."",""Step down under control and repeat before switching sides.""]",exercises/dumbbell-step-up/demo
barbell-bench-press,Barbell Bench Press,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,BARBELL,"[""chest""]","[""triceps"",""shoulders""]","[""Lie on a bench with your feet planted and grip the bar slightly wider than shoulder width."",""Lower the bar under control toward your mid-chest."",""Press the bar upward until your arms are extended.""]",exercises/barbell-bench-press/demo
barbell-overhead-press,Barbell Overhead Press,STRENGTH,SHOULDERS,BEGINNER,PUSH,COMPOUND,BARBELL,"[""shoulders""]","[""triceps"",""upper chest""]","[""Hold the bar around shoulder height with a comfortable grip."",""Brace your torso and press the bar overhead."",""Lower it under control back toward your shoulders.""]",exercises/barbell-overhead-press/demo
barbell-bent-over-row,Barbell Bent-Over Row,STRENGTH,BACK,INTERMEDIATE,PULL,COMPOUND,BARBELL,"[""upper back"",""lats""]","[""biceps"",""rear deltoids""]","[""Hold the bar and hinge at your hips with a neutral back."",""Pull the bar toward your lower ribs while keeping your torso stable."",""Lower the bar until your arms are extended.""]",exercises/barbell-bent-over-row/demo
barbell-back-squat,Barbell Back Squat,STRENGTH,LEGS,INTERMEDIATE,PUSH,COMPOUND,BARBELL,"[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""Position the bar securely across your upper back and stand with a stable stance."",""Sit your hips down and back while bending your knees."",""Drive through your feet to return to standing.""]",exercises/barbell-back-squat/demo
conventional-deadlift,Conventional Deadlift,STRENGTH,FULL_BODY,INTERMEDIATE,PULL,COMPOUND,BARBELL,"[""glutes"",""hamstrings"",""back""]","[""quadriceps"",""forearms"",""traps""]","[""Stand with the bar over mid-foot and grip it outside your legs."",""Brace your trunk and push the floor away as you extend your hips and knees."",""Stand tall, then return the bar to the floor under control.""]",exercises/conventional-deadlift/demo
romanian-deadlift,Romanian Deadlift,STRENGTH,LEGS,INTERMEDIATE,PULL,COMPOUND,BARBELL,"[""hamstrings"",""glutes""]","[""lower back""]","[""Hold the bar in front of your thighs with knees slightly bent."",""Push your hips backward while keeping the bar close to your legs."",""Drive your hips forward to stand when you reach a comfortable hamstring stretch.""]",exercises/romanian-deadlift/demo
barbell-hip-thrust,Barbell Hip Thrust,STRENGTH,GLUTES,INTERMEDIATE,PUSH,COMPOUND,BARBELL,"[""glutes""]","[""hamstrings"",""core""]","[""Sit with your upper back supported on a bench and the bar padded across your hips."",""Drive through your feet and extend your hips upward."",""Squeeze your glutes at the top, then lower under control.""]",exercises/barbell-hip-thrust/demo
barbell-lunge,Barbell Lunge,STRENGTH,LEGS,INTERMEDIATE,PUSH,COMPOUND,BARBELL,"[""quadriceps"",""glutes""]","[""hamstrings""]","[""Position the bar securely across your upper back."",""Step forward and lower into a controlled lunge."",""Push through the front foot to return and repeat on the other side.""]",exercises/barbell-lunge/demo
barbell-biceps-curl,Barbell Biceps Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,BARBELL,"[""biceps""]","[""forearms""]","[""Stand tall holding the bar with palms facing forward."",""Keep your upper arms near your torso and curl the bar upward."",""Lower the bar slowly until your elbows are extended.""]",exercises/barbell-biceps-curl/demo
barbell-calf-raise,Barbell Calf Raise,STRENGTH,CALVES,INTERMEDIATE,PUSH,ISOLATION,BARBELL,"[""calves""]",[],"[""Position the bar securely and stand with a stable stance."",""Rise onto the balls of your feet as high as comfortable."",""Pause briefly, then lower your heels under control.""]",exercises/barbell-calf-raise/demo
lat-pulldown,Lat Pulldown,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,CABLE,"[""lats""]","[""biceps"",""upper back""]","[""Sit securely at the pulldown station and hold the bar wider than shoulder width."",""Pull the bar toward your upper chest by driving your elbows down."",""Return the bar upward under control.""]",exercises/lat-pulldown/demo
seated-cable-row,Seated Cable Row,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,CABLE,"[""upper back"",""lats""]","[""biceps"",""rear deltoids""]","[""Sit tall with feet supported and hold the cable handle."",""Pull the handle toward your torso while drawing your shoulders back."",""Extend your arms again without rounding excessively.""]",exercises/seated-cable-row/demo
cable-wood-chop,Cable Wood Chop,STRENGTH,CORE,BEGINNER,PULL,COMPOUND,CABLE,"[""obliques""]","[""shoulders"",""core""]","[""Stand sideways to the cable with both hands on the handle."",""Rotate through your torso and hips while drawing the handle diagonally across your body."",""Return slowly and repeat before switching sides.""]",exercises/cable-wood-chop/demo
triceps-pushdown,Triceps Pushdown,STRENGTH,ARMS,BEGINNER,PUSH,ISOLATION,CABLE,"[""triceps""]",[],"[""Stand facing a high cable and hold the attachment with elbows near your sides."",""Extend your elbows to push the attachment downward."",""Return slowly without letting your upper arms drift forward.""]",exercises/triceps-pushdown/demo
cable-biceps-curl,Cable Biceps Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,CABLE,"[""biceps""]","[""forearms""]","[""Stand facing a low cable and hold the attachment with palms forward."",""Keep your upper arms stable and curl the attachment upward."",""Lower under control until your elbows are extended.""]",exercises/cable-biceps-curl/demo
face-pull,Face Pull,STRENGTH,SHOULDERS,BEGINNER,PULL,COMPOUND,CABLE,"[""rear deltoids"",""upper back""]","[""biceps""]","[""Set a rope attachment around face height."",""Pull the rope toward your face while separating your hands."",""Squeeze your upper back briefly, then return under control.""]",exercises/face-pull/demo
straight-arm-pulldown,Straight-Arm Pulldown,STRENGTH,BACK,BEGINNER,PULL,ISOLATION,CABLE,"[""lats""]","[""triceps""]","[""Stand facing a high cable with arms mostly straight."",""Pull the attachment down toward your thighs without turning it into a row."",""Return slowly while keeping tension through your lats.""]",exercises/straight-arm-pulldown/demo
cable-lateral-raise,Cable Lateral Raise,STRENGTH,SHOULDERS,BEGINNER,PUSH,ISOLATION,CABLE,"[""shoulders""]",[],"[""Stand beside a low cable and hold the handle with the outside hand."",""Raise your arm out to the side to around shoulder height."",""Lower slowly and repeat before switching sides.""]",exercises/cable-lateral-raise/demo
cable-crunch,Cable Crunch,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,CABLE,"[""abdominals""]",[],"[""Kneel facing a high cable with the attachment near your head."",""Brace your hips and curl your torso downward using your abdomen."",""Return slowly without pulling mainly with your arms.""]",exercises/cable-crunch/demo
leg-press,Leg Press,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,MACHINE,"[""quadriceps"",""glutes""]","[""hamstrings""]","[""Sit securely in the machine with feet placed comfortably on the platform."",""Lower the platform by bending your knees to a comfortable depth."",""Press through your feet to extend your legs without locking forcefully.""]",exercises/leg-press/demo
leg-extension,Leg Extension,STRENGTH,LEGS,BEGINNER,PUSH,ISOLATION,MACHINE,"[""quadriceps""]",[],"[""Adjust the machine so the pad sits comfortably above your ankles."",""Extend your knees to raise the pad."",""Pause briefly, then lower under control.""]",exercises/leg-extension/demo
lying-leg-curl,Lying Leg Curl,STRENGTH,LEGS,BEGINNER,PULL,ISOLATION,MACHINE,"[""hamstrings""]","[""calves""]","[""Lie on the machine with the pad positioned above your heels."",""Curl your lower legs toward your glutes."",""Lower the weight slowly until your knees are nearly extended.""]",exercises/lying-leg-curl/demo
machine-chest-press,Machine Chest Press,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,MACHINE,"[""chest""]","[""triceps"",""shoulders""]","[""Adjust the seat so the handles are around chest height."",""Press the handles forward while keeping your back against the pad."",""Return slowly to a comfortable starting position.""]",exercises/machine-chest-press/demo
machine-shoulder-press,Machine Shoulder Press,STRENGTH,SHOULDERS,BEGINNER,PUSH,COMPOUND,MACHINE,"[""shoulders""]","[""triceps""]","[""Adjust the seat so the handles begin around shoulder level."",""Press the handles overhead without shrugging excessively."",""Lower them under control.""]",exercises/machine-shoulder-press/demo
assisted-pull-up,Assisted Pull-Up,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,MACHINE,"[""lats""]","[""biceps"",""upper back""]","[""Set enough assistance to perform controlled repetitions."",""Grip the handles and pull yourself upward by driving your elbows down."",""Lower under control until your arms are extended.""]",exercises/assisted-pull-up/demo
ab-crunch-machine,Ab Crunch Machine,STRENGTH,CORE,BEGINNER,PULL,ISOLATION,MACHINE,"[""abdominals""]",[],"[""Adjust the seat and pads to fit your body comfortably."",""Brace your abdomen and curl your torso forward against the resistance."",""Return slowly without letting the weight pull you backward.""]",exercises/ab-crunch-machine/demo
hip-abduction-machine,Hip Abduction Machine,STRENGTH,GLUTES,BEGINNER,PUSH,ISOLATION,MACHINE,"[""gluteus medius"",""abductors""]",[],"[""Sit securely with the pads against the outside of your thighs."",""Press your knees outward against the resistance."",""Return slowly without allowing the weight to snap back.""]",exercises/hip-abduction-machine/demo
hip-adduction-machine,Hip Adduction Machine,STRENGTH,LEGS,BEGINNER,PULL,ISOLATION,MACHINE,"[""adductors""]",[],"[""Sit securely with the pads against the inside of your thighs."",""Bring your knees inward against the resistance."",""Return outward slowly to a comfortable range.""]",exercises/hip-adduction-machine/demo
cable-glute-kickback,Cable Glute Kickback,STRENGTH,GLUTES,BEGINNER,PUSH,ISOLATION,CABLE,"[""glutes""]","[""hamstrings""]","[""Attach an ankle strap to a low cable and hold a support."",""Extend one leg backward without excessively arching your lower back."",""Squeeze your glute, return slowly, and switch sides.""]",exercises/cable-glute-kickback/demo
seated-calf-raise,Seated Calf Raise,STRENGTH,CALVES,BEGINNER,PUSH,ISOLATION,MACHINE,"[""calves""]",[],"[""Sit with the machine pad secured above your knees."",""Raise your heels by pressing through the balls of your feet."",""Pause briefly, then lower your heels slowly.""]",exercises/seated-calf-raise/demo
back-extension,Back Extension,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,MACHINE,"[""lower back""]","[""glutes"",""hamstrings""]","[""Set yourself securely on a back-extension bench or machine."",""Lower your torso by hinging at the hips while keeping your spine controlled."",""Use your posterior chain to return to a neutral body line.""]",exercises/back-extension/demo
